,state,fy2000,fy2001,fy2002,fy2003,fy2004,fy2005,fy2006,fy2007,fy2008,fy2009,fy2010,fy2011,fy2012,fy2013,fy2014,fy2015,fy2016
30,New Jersey,0.065984891,0.061986449,0.013274537,0.015826544,0.034230832,0.027941388,0.063460921,0.085391626,0.039351293,0.020256004,0.028230337,0.030886112,0.014522618,0.009855349,0.009022465,0.025081353,0.023221417
31,New Mexico,0.056637168,0.117293626,0.07903186,0.060478894,0.101085482,0.145546858,0.147368421,0.109283196,0.122336884,0.06434006,0.158641284,0.094403618,0.127777778,0.111740474,0.106493073,0.096901676,0.075003827
32,New York,0.031396287,0.027656037,0.025035175,0.02166804,0.025603233,0.058369059,0.070050543,0.059021922,0.051587525,0.035673082,0.044097927,0.024849656,0.031634478,0.027306649,0.036493967,0.116138475,0.069038205
33,North Carolina,0.00274289,0.011750707,0.0002911,0.028940531,0.03781284,0.050132928,0.080750073,0.107598328,0.067540568,0.012313642,0.020904229,0.047451765,0.041530445,0.047258979,0.043956044,0.054050131,0.058799172
34,North Dakota,0.077619664,0.124087591,0.023201856,0.024418605,0.086129754,0.186946903,0.306418219,0.490118577,0.542358804,0.555375909,0.402523659,0.837674137,0.755735493,0.841478963,0.516218721,0.443425076,0.156900329
35,Ohio,0.062305134,0.057604994,0.024783835,0.010329758,0.014178447,0.028714107,0.066074157,0.048830921,0.102006816,0.026599595,0.020258193,0.016420299,0.045126954,0.111891873,0.105329445,0.101392156,0.079471128
36,Oklahoma,0.096369637,0.130732517,0.02930622,0.007307114,0.05853358,0.095247725,0.113862281,0.122762148,0.137583372,0.095230816,0.081070522,0.063134576,0.117657162,0.106437221,0.082307692,0.067780728,0.036343612
37,Oregon,0.076923077,0.06915603,-0.185416667,0.024062096,-0.08085417,0.068788958,0.089517854,0.254516472,0.08982808,0.019188317,-0.027311254,0.014562303,0.025415162,0.082504823,0.05199532,0.112980474,0.098114486
38,Pennsylvania,0.088520342,0.073607894,0.006999853,0.013676471,0.015398675,0.030103236,0.041597405,0.047266234,0.049132305,-0.047075764,-0.010600195,0.03788708,0.024240418,0.019508853,0.002852615,0.007066168,0.003272358
39,Rhode Island,0.073061407,0.084977849,0.046415094,0.047194352,0.03960396,0.044414076,0.043280182,0.025792418,0.018208517,0.006331223,0.045391061,0.067320704,0.086173633,0.085820896,0.073419239,0.102200347,0.075482248
40,South Carolina,0.111132661,0.024275362,0.009674923,0.009209209,0.016443988,0.105066036,0.175177305,0.164661081,0.045321024,0.0210508,0.069572015,0.137797561,0.173282581,0.168709677,0.183757308,0.173440939,0.141082891
